iter	Passed	Remaining
154	1517	7294
155	1527	7283
156	1537	7275
157	1546	7264
158	1554	7244
159	1564	7236
160	1573	7221
161	1583	7212
162	1591	7195
163	1600	7184
164	1610	7171
165	1618	7154
166	1628	7149
167	1638	7140
168	1648	7130
169	1661	7132
170	1670	7121
171	1679	7107
172	1689	7098
173	1697	7083
174	1708	7078
175	1716	7062
176	1726	7053
177	1736	7043
178	1745	7031
179	1754	7018
180	1765	7012
181	1775	7003
182	1784	6992
183	1794	6982
184	1803	6971
185	1813	6959
186	1821	6943
187	1829	6928
188	1839	6920
189	1849	6910
190	1859	6901
191	1870	6898
192	1880	6890
193	1889	6876
194	1897	6861
195	1907	6850
196	1915	6835
197	1923	6820
198	1933	6810
199	1943	6802
200	1952	6791
201	1963	6784
202	1972	6774
203	1982	6764
204	1990	6749
205	1999	6735
206	2006	6718
207	2013	6700
208	2024	6692
209	2032	6677
210	2042	6668
211	2050	6653
212	2060	6646
213	2069	6633
214	2076	6616
215	2085	6605
216	2093	6590
217	2101	6575
218	2110	6561
219	2118	6549
220	2125	6531
221	2133	6515
222	2142	6503
223	2149	6487
224	2157	6472
225	2164	6455
226	2174	6445
227	2181	6430
228	2190	6417
229	2198	6403
230	2205	6388
231	2213	6373
232	2221	6358
233	2228	6343
234	2235	6327
235	2243	6310
236	2250	6296
237	2258	6282
238	2266	6269
239	2275	6256
240	2282	6242
241	2290	6227
242	2298	6213
243	2304	6195
244	2313	6185
245	2321	6172
246	2329	6157
247	2337	6145
248	2347	6136
249	2359	6134
250	2368	6123
251	2375	6107
252	2382	6093
253	2390	6079
254	2398	6066
255	2405	6051
256	2414	6040
257	2421	6026
258	2432	6019
259	2439	6005
260	2448	5995
261	2455	5979
262	2464	5968
263	2472	5957
264	2482	5948
265	2491	5938
266	2498	5924
267	2507	5914
268	2515	5901
269	2523	5888
270	2531	5874
271	2541	5868
272	2550	5858
273	2559	5846
274	2567	5835
275	2575	5822
276	2582	5807
277	2590	5795
278	2596	5779
279	2603	5765
280	2612	5755
281	2620	5742
282	2628	5731
283	2636	5718
284	2645	5708
285	2652	5695
286	2660	5681
287	2667	5669
288	2676	5659
289	2685	5648
290	2691	5633
291	2698	5617
292	2706	5607
293	2713	5592
294	2721	5580
295	2728	5566
296	2736	5555
297	2743	5541
298	2750	5529
299	2757	5515
300	2764	5502
301	2772	5489
302	2779	5477
303	2787	5464
304	2794	5450
305	2802	5440
306	2811	5429
307	2818	5416
308	2826	5405
309	2833	5392
310	2842	5383
311	2851	5373
312	2860	5365
313	2870	5357
314	2879	5347
315	2888	5338
316	2895	5325
317	2905	5316
318	2914	5307
319	2922	5297
320	2931	5287
321	2939	5276
322	2947	5265
323	2955	5254
324	2963	5243
325	2971	5231
326	2981	5224
327	2989	5213
328	2998	5203
329	3005	5192
330	3014	5181
331	3022	5170
332	3031	5160
333	3039	5151
334	3048	5141
335	3056	5130
336	3065	5121
337	3072	5109
338	3082	5100
339	3088	5087
340	3097	5077
341	3104	5064
342	3111	5052
343	3119	5041
344	3126	5030
345	3135	5019
346	3143	5010
347	3151	4998
348	3160	4990
349	3168	4979
350	3177	4969
351	3185	4959
352	3195	4951
353	3203	4941
354	3213	4932
355	3221	4923
356	3229	4912
357	3238	4902
358	3246	4892
359	3255	4883
360	3264	4873
361	3273	4864
362	3280	4852
363	3289	4843
364	3298	4834
365	3305	4823
366	3314	4814
367	3323	4805
368	3332	4796
369	3341	4786
370	3351	4778
371	3359	4768
372	3367	4757
373	3376	4748
374	3383	4737
375	3393	4728
376	3401	4718
377	3410	4710
378	3419	4701
379	3429	4692
380	3438	4683
381	3448	4676
382	3456	4665
383	3463	4654
384	3472	4645
385	3480	4634
386	3488	4624
387	3496	4614
388	3503	4602
389	3510	4591
390	3518	4579
391	3525	4568
392	3532	4556
393	3539	4545
394	3547	4535
395	3555	4524
396	3562	4513
397	3570	4503
398	3577	4491
399	3585	4482
400	3592	4470
401	3598	4458
402	3606	4447
403	3613	4435
404	3620	4424
405	3627	4413
406	3634	4402
407	3641	4391
408	3649	4381
409	3656	4370
410	3667	4363
411	3676	4354
412	3684	4344
413	3693	4335
414	3702	4327
415	3710	4316
416	3718	4306
417	3726	4296
418	3734	4286
419	3742	4277
420	3752	4269
421	3761	4260
422	3769	4250
423	3776	4240
424	3785	4230
425	3792	4220
426	3801	4211
427	3809	4200
428	3817	4191
429	3824	4180
430	3831	4168
431	3839	4159
432	3847	4149
433	3854	4138
434	3863	4129
435	3871	4119
436	3879	4110
437	3887	4100
438	3894	4090
439	3902	4079
440	3909	4069
441	3918	4060
442	3924	4048
443	3933	4039
444	3940	4029
445	3949	4020
446	3957	4010
447	3965	4000
448	3973	3991
449	3983	3983
450	3994	3976
451	4003	3968
452	4015	3961
453	4023	3952
454	4031	3943
455	4041	3935
456	4050	3926
457	4060	3918
458	4069	3910
459	4078	3901
460	4087	3892
461	4097	3884
462	4106	3876
463	4115	3867
464	4123	3857
465	4132	3849
466	4141	3840
467	4150	3831
468	4160	3823
469	4169	3814
470	4180	3807
471	4192	3801
472	4200	3791
473	4211	3785
474	4221	3776
475	4229	3767
476	4237	3757
477	4245	3748
478	4255	3740
479	4263	3730
480	4274	3723
481	4283	3714
482	4293	3706
483	4301	3697
484	4311	3688
485	4321	3681
486	4330	3672
487	4338	3663
488	4348	3654
489	4356	3645
490	4364	3635
491	4375	3628
492	4383	3618
493	4392	3610
494	4400	3600
495	4410	3592
496	4419	3583
497	4427	3573
498	4435	3564
499	4442	3554
500	4451	3545
501	4458	3534
502	4467	3526
503	4475	3516
504	4484	3507
505	4492	3498
506	4502	3489
507	4511	3481
508	4519	3471
509	4530	3464
510	4537	3454
511	4546	3445
512	4554	3435
513	4562	3426
514	4571	3417
515	4577	3406
516	4587	3398
517	4595	3389
518	4605	3381
519	4613	3371
520	4622	3362
521	4631	3353
522	4638	3343
523	4648	3335
524	4655	3325
525	4665	3317
526	4673	3307
527	4685	3300
528	4694	3292
529	4703	3283
530	4711	3274
531	4719	3264
532	4727	3255
533	4734	3245
534	4744	3237
535	4754	3228
536	4765	3221
537	4775	3213
538	4784	3204
539	4792	3195
540	4803	3187
541	4810	3177
542	4819	3168
543	4830	3161
544	4840	3152
545	4850	3144
546	4859	3135
547	4868	3127
548	4880	3120
549	4889	3111
550	4898	3102
551	4906	3093
552	4913	3083
553	4922	3074
554	4930	3064
555	4939	3056
556	4947	3046
557	4955	3037
558	4963	3027
559	4971	3018
560	4981	3010
561	4990	3001
562	5000	2992
563	5008	2983
564	5017	2974
565	5025	2965
566	5032	2955
567	5040	2946
568	5047	2936
569	5057	2928
570	5064	2918
571	5073	2909
572	5081	2899
573	5089	2890
574	5097	2881
575	5105	2871
576	5114	2862
577	5122	2853
578	5131	2845
579	5139	2835
580	5147	2826
581	5156	2817
582	5164	2808
583	5174	2799
584	5181	2790
585	5187	2779
586	5195	2770
587	5203	2761
588	5211	2751
589	5218	2742
590	5225	2731
591	5233	2722
592	5241	2713
593	5248	2703
594	5257	2694
595	5264	2685
596	5272	2676
597	5279	2666
598	5287	2656
599	5295	2647
600	5305	2639
601	5314	2630
602	5321	2621
603	5330	2612
604	5339	2603
605	5348	2594
606	5356	2585
607	5364	2576
608	5373	2567
609	5381	2558
610	5390	2549
611	5396	2539
612	5404	2530
613	5412	2521
614	5420	2511
615	5428	2502
616	5436	2493
617	5443	2483
618	5452	2474
619	5458	2465
620	5467	2456
621	5473	2446
622	5481	2437
623	5490	2428
624	5498	2419
625	5507	2410
626	5515	2401
627	5522	2391
628	5530	2382
629	5536	2372
630	5544	2363
631	5552	2354
632	5560	2345
633	5568	2336
634	5575	2326
635	5584	2318
636	5591	2308
637	5599	2299
638	5607	2290
639	5615	2281
640	5622	2271
641	5631	2263
642	5638	2253
643	5645	2244
644	5653	2235
645	5660	2225
646	5668	2216
647	5675	2207
648	5684	2198
649	5693	2189
650	5700	2180
651	5707	2171
652	5715	2161
653	5723	2152
654	5729	2143
655	5736	2133
656	5746	2125
657	5753	2116
658	5761	2107
659	5768	2097
660	5775	2088
661	5783	2079
662	5791	2070
663	5800	2061
664	5809	2052
665	5816	2043
666	5825	2035
667	5833	2026
668	5844	2018
669	5852	2009
670	5862	2000
671	5869	1991
672	5877	1982
673	5884	1973
674	5890	1963
675	5900	1955
676	5907	1945
677	5915	1936
678	5924	1928
679	5930	1918
680	5939	1909
681	5946	1900
682	5954	1891
683	5961	1882
684	5967	1873
685	5976	1864
686	5982	1854
687	5989	1845
688	5998	1836
689	6004	1827
690	6011	1818
691	6019	1809
692	6026	1800
693	6034	1791
694	6040	1781
695	6047	1772
696	6056	1763
697	6063	1754
698	6070	1745
699	6077	1736
700	6084	1727
701	6092	1718
702	6099	1709
703	6106	1700
704	6114	1691
705	6122	1682
706	6128	1673
707	6137	1664
708	6143	1655
709	6151	1646
710	6158	1637
711	6165	1627
712	6172	1618
713	6180	1609
714	6188	1601
715	6193	1591
716	6200	1582
717	6207	1573
718	6216	1564
719	6222	1555
720	6231	1546
721	6237	1537
722	6245	1528
723	6253	1520
724	6260	1511
725	6268	1502
726	6275	1493
727	6281	1484
728	6288	1475
729	6295	1466
730	6302	1456
731	6310	1448
732	6317	1439
733	6328	1431
734	6337	1422
735	6345	1413
736	6354	1405
737	6361	1396
738	6369	1387
739	6377	1378
740	6384	1369
741	6391	1361
742	6398	1352
743	6406	1343
744	6413	1334
745	6420	1325
746	6428	1316
747	6436	1307
748	6445	1299
749	6453	1290
750	6462	1282
751	6470	1273
752	6478	1264
753	6485	1255
754	6492	1246
755	6498	1237
756	6506	1229
757	6513	1220
758	6519	1211
759	6527	1202
760	6533	1193
761	6540	1184
762	6549	1176
763	6558	1167
764	6565	1158
765	6573	1149
766	6582	1141
767	6590	1132
768	6598	1124
769	6608	1115
770	6615	1106
771	6622	1098
772	6629	1089
773	6637	1080
774	6646	1071
775	6653	1063
776	6663	1054
777	6673	1046
778	6681	1037
779	6690	1029
780	6698	1020
781	6706	1011
782	6712	1003
783	6721	994
784	6728	985
785	6735	976
786	6742	968
787	6749	959
788	6757	950
789	6764	941
790	6769	932
791	6776	924
792	6783	915
793	6790	906
794	6799	898
795	6806	889
796	6813	880
797	6821	871
798	6827	863
799	6837	854
800	6845	846
801	6854	837
802	6861	828
803	6869	820
804	6877	811
805	6886	803
806	6893	794
807	6902	785
808	6909	777
809	6917	768
810	6924	759
811	6933	751
812	6941	742
813	6950	734
814	6958	725
815	6966	717
816	6974	708
817	6982	699
818	6988	691
819	6997	682
820	7004	673
821	7013	665
822	7021	656
823	7029	648
824	7037	639
825	7044	631
826	7053	622
827	7059	613
828	7066	605
829	7074	596
830	7083	588
831	7092	579
832	7100	571
833	7107	562
834	7116	553
835	7123	545
836	7130	536
837	7136	527
838	7143	519
839	7152	510
840	7160	502
841	7168	493
842	7177	485
843	7184	476
844	7193	468
845	7200	459
846	7208	451
847	7216	442
848	7223	433
849	7231	425
850	7238	416
851	7247	408
852	7254	399
853	7261	391
854	7270	382
855	7278	374
856	7287	365
857	7294	357
858	7301	348
859	7309	339
860	7317	331
861	7325	322
862	7334	314
863	7344	306
864	7351	297
865	7360	288
866	7367	280
867	7374	271
868	7381	263
869	7387	254
870	7395	246
871	7402	237
872	7409	229
873	7416	220
874	7423	212
875	7430	203
876	7438	195
877	7446	186
878	7454	178
879	7462	169
880	7469	161
881	7475	152
882	7479	144
883	7486	135
884	7493	127
885	7501	118
886	7508	110
887	7515	101
888	7519	93
889	7527	84
890	7534	76
891	7541	67
892	7549	59
893	7555	50
894	7563	42
895	7569	33
896	7576	25
897	7584	16
898	7590	8
899	7597	0
