iter	Logloss
178	0.5272148733
179	0.5268251911
180	0.5263655861
181	0.5259312241
182	0.5251365009
183	0.5247616978
184	0.524350666
185	0.523910039
186	0.5235297417
187	0.523142973
188	0.5227815276
189	0.522066271
190	0.5215531152
191	0.5212080757
192	0.5207889237
193	0.5202791238
194	0.5198771529
195	0.5195088204
196	0.5191425822
197	0.5186141511
198	0.51813593
199	0.5177047828
200	0.5170403306
201	0.5166456364
202	0.5162569269
203	0.5158770005
204	0.5155806956
205	0.5150762182
206	0.5147185087
207	0.5143536981
208	0.5139838108
209	0.513642882
210	0.5133235537
211	0.5127553349
212	0.5123155839
213	0.5119849792
214	0.5116554487
215	0.5113004279
216	0.5109733106
217	0.5104366549
218	0.5101415745
219	0.5095682739
220	0.5092591558
221	0.5089640315
222	0.5086441054
223	0.5081943847
224	0.5078981175
225	0.507634577
226	0.5073080835
227	0.5070115151
228	0.5064013993
229	0.5059982142
230	0.5057174384
231	0.5054140206
232	0.5049868824
233	0.504584256
234	0.5042402409
235	0.5037882343
236	0.5033766839
237	0.5029699148
238	0.502525325
239	0.5020440887
240	0.5017526817
241	0.5011592074
242	0.5008817743
243	0.5006504549
244	0.5002500388
245	0.5000101737
246	0.4996016783
247	0.4992439084
248	0.4989524171
249	0.4986994995
250	0.4984784413
251	0.4980407609
252	0.4976685828
253	0.4974009855
254	0.4971299233
255	0.4967348876
256	0.4964774357
257	0.4961025636
258	0.4957421491
259	0.4955552516
260	0.4953094538
261	0.4951058806
262	0.4946524449
263	0.494257734
264	0.4938464974
265	0.4934528485
266	0.493064437
267	0.4928502728
268	0.492578269
269	0.4921305953
270	0.4918821353
271	0.4916184897
272	0.4912645901
273	0.4910320695
274	0.4906594006
275	0.4903926203
276	0.4901871762
277	0.4897918422
278	0.4895635669
279	0.4893093126
280	0.4889033701
281	0.4886497122
282	0.4883165953
283	0.4879477171
284	0.4876406278
285	0.4873266429
286	0.4869373774
287	0.4866044657
288	0.4863576253
289	0.4857979141
290	0.4856254555
291	0.4849428734
292	0.4846352338
293	0.4844246572
294	0.4841754255
295	0.4838844938
296	0.4836521017
297	0.48345474
298	0.4831313097
299	0.4828250236
300	0.4824492508
301	0.4818623955
302	0.4816505865
303	0.4811958258
304	0.4809867392
305	0.4807505949
306	0.480447186
307	0.4797860106
308	0.479480613
309	0.4789763697
310	0.4785967178
311	0.4780637611
312	0.4777228984
313	0.4775117495
314	0.4773532597
315	0.4769998322
316	0.4768280113
317	0.4765181226
318	0.476302471
319	0.4757723938
320	0.4754912642
321	0.4750990172
322	0.4748826475
323	0.4746805342
324	0.4744011689
325	0.4742240092
326	0.473954488
327	0.4735932858
328	0.4734309313
329	0.4732539399
330	0.4730607388
331	0.4729285419
332	0.4727525191
333	0.4724470827
334	0.4722864075
335	0.4721102264
336	0.4718628725
337	0.471564808
338	0.4713440951
339	0.4710352386
340	0.4708238432
341	0.4703327139
342	0.4700838895
343	0.4697377049
344	0.4695293601
345	0.469135065
346	0.4687133386
347	0.4683322513
348	0.4680235876
349	0.4677288436
350	0.4672095069
351	0.4669987412
352	0.466676249
353	0.4663802167
354	0.4659414522
355	0.4656733975
356	0.465464705
357	0.4651983924
358	0.4649920782
359	0.4647393581
360	0.4645269182
361	0.4643489304
362	0.4641878349
363	0.4639496295
364	0.463576257
365	0.4631929807
366	0.4629757554
367	0.4625528572
368	0.4623581539
369	0.4622171002
370	0.4620346148
371	0.4617711492
372	0.4615008379
373	0.4612384152
374	0.4610658064
375	0.460765506
376	0.4602707202
377	0.4601044609
378	0.4597692144
379	0.4596596702
380	0.4592682533
381	0.4591046206
382	0.45886107
383	0.4586744072
384	0.4584223465
385	0.458264928
386	0.4580158788
387	0.4577023928
388	0.4572099641
389	0.4569371211
390	0.456683071
391	0.4565472104
392	0.456435021
393	0.456303992
394	0.4559491291
395	0.4557763411
396	0.455608052
397	0.4554786308
398	0.4552094041
399	0.454804218
400	0.4546510564
401	0.4545273561
402	0.4543625485
403	0.4542086599
404	0.4540088525
405	0.4538695188
406	0.4536045977
407	0.4533667406
408	0.4531847326
409	0.4527937021
410	0.452653312
411	0.4524069087
412	0.4522098338
413	0.452055663
414	0.4518939904
415	0.4516096038
416	0.4513564868
417	0.4510103523
418	0.450885306
419	0.4504677831
420	0.4501921115
421	0.4497846877
422	0.4495987491
423	0.4494513485
424	0.4492189496
425	0.4489948512
426	0.4488518789
427	0.4486850014
428	0.4485452484
429	0.4484267164
430	0.4482783802
431	0.4479716733
432	0.4478499713
433	0.4477426782
434	0.4475332847
435	0.4471438856
436	0.4469122446
437	0.4465928824
438	0.446200889
439	0.4458244701
440	0.4454359116
441	0.4452012504
442	0.4450870443
443	0.4446907314
444	0.4443884111
445	0.4441899698
446	0.4439898286
447	0.4436974432
448	0.4432004245
449	0.4429326883
450	0.4427977431
451	0.4426695839
452	0.4424897725
453	0.442281086
454	0.4420825316
455	0.4419408189
456	0.4415880701
457	0.4414551473
458	0.4409154563
459	0.4405584051
460	0.4401774633
461	0.4398347062
462	0.4395645586
463	0.4394542613
464	0.4393523861
465	0.4391194732
466	0.4389139099
467	0.4384928939
468	0.4383378537
469	0.4380580668
470	0.437666466
471	0.4374181261
472	0.4372687141
473	0.4368936873
474	0.4367745643
475	0.436631032
476	0.4363701832
477	0.4361341342
478	0.4357737334
479	0.4355997825
480	0.4354700381
481	0.4348180261
482	0.4344898143
483	0.4343143156
484	0.4342023458
485	0.4340637183
486	0.4339409132
487	0.4337043822
488	0.433602502
489	0.4334814512
490	0.4332299067
491	0.4328365201
492	0.4325767556
493	0.4322995054
494	0.4322002205
495	0.4317123844
496	0.4315848362
497	0.4314810722
498	0.4312870818
499	0.4311524852
500	0.4307712048
501	0.4306674977
502	0.4303359031
503	0.4301199713
504	0.4300023607
505	0.4298356822
506	0.4294801443
507	0.4293442036
508	0.4289370192
509	0.428433856
510	0.4283312643
511	0.4280081614
512	0.4278709039
513	0.4275239685
514	0.4273511599
515	0.4272557731
516	0.4271416487
517	0.4269241777
518	0.4268459175
519	0.426722462
520	0.4266137669
521	0.4265247224
522	0.4262437441
523	0.4259435459
524	0.4257263051
525	0.4254054603
526	0.425316501
527	0.4251932969
528	0.4250948547
529	0.4249571111
530	0.4246588937
531	0.4244616472
532	0.4238672993
533	0.4237852683
534	0.4234708618
535	0.4233791846
536	0.4231333654
537	0.4230198042
538	0.4226540807
539	0.4224597356
540	0.4223262022
541	0.4222702804
542	0.4217339253
543	0.4213518514
544	0.4212886557
545	0.4207531057
546	0.4204556769
547	0.420355413
548	0.4200431801
549	0.4198494501
550	0.4192386382
551	0.4190824652
552	0.4186486253
553	0.4185324546
554	0.4183558453
555	0.4182359082
556	0.4181006077
557	0.4179714119
558	0.4177219141
559	0.4174318406
560	0.4172025192
561	0.4171216789
562	0.4170246767
563	0.4169031696
564	0.4163640304
565	0.4162950916
566	0.4156865789
567	0.4155705015
568	0.4153204838
569	0.4150071815
570	0.4148512028
571	0.4147070212
572	0.4146217709
573	0.414337317
574	0.4141336628
575	0.4139135661
576	0.4136244444
577	0.4134699019
578	0.4132225081
579	0.4127811409
580	0.4122503958
581	0.4121541594
582	0.4119848081
583	0.4118116917
584	0.4117084008
585	0.4116216398
586	0.4113636176
587	0.4111076207
588	0.4107493085
589	0.4103733488
590	0.4103036307
591	0.4100467252
592	0.4099480251
593	0.4098771356
594	0.4096737818
595	0.4095648327
596	0.4095040949
597	0.4091945577
598	0.4090527095
599	0.408820218
600	0.4085028957
601	0.4081931379
602	0.407889643
603	0.407800623
604	0.4072270171
605	0.4069465927
606	0.4067574173
607	0.4064838205
608	0.4063768153
609	0.4060538896
610	0.4059650246
611	0.4056878336
612	0.4052742008
613	0.4051424727
614	0.404906421
615	0.4048452807
616	0.4046814389
617	0.4045927264
618	0.4045163273
619	0.4041838392
620	0.4040761869
621	0.4038362613
622	0.4036294933
623	0.4032869856
624	0.4031856504
625	0.4029289001
626	0.402700996
627	0.4025042083
628	0.4023718192
629	0.4022767656
630	0.4021599381
631	0.4020736454
632	0.4018061312
633	0.4016726534
634	0.4013976858
635	0.401216159
636	0.4011538123
637	0.4011016887
638	0.4010047025
639	0.4009230337
640	0.4007398859
641	0.4005256146
642	0.4004523685
643	0.4003712626
644	0.4002233554
645	0.400016058
646	0.3998752649
647	0.3996850951
648	0.399597766
649	0.3995334935
650	0.3993472234
651	0.3992542569
652	0.3990402664
653	0.39898986
654	0.3989117669
655	0.3987856983
656	0.3987097644
657	0.3985094558
658	0.3979356519
659	0.397704372
660	0.3974311586
661	0.3972762768
662	0.3971431386
663	0.3970677111
664	0.3968097846
665	0.3966472038
666	0.3965298023
667	0.3962872097
668	0.3960564615
669	0.3958647312
670	0.3957938703
671	0.3957170789
672	0.3956083854
673	0.3953738486
674	0.3952757198
675	0.3951369975
676	0.3950500624
677	0.3947969465
678	0.3947141525
679	0.3946644721
680	0.3945670092
681	0.3941658264
682	0.3938626406
683	0.3937190715
684	0.3935430801
685	0.393474939
686	0.3931516758
687	0.3930716925
688	0.3929339089
689	0.3928805124
690	0.3927383457
691	0.3926349877
692	0.3925569825
693	0.3923393479
694	0.3921104277
695	0.3919826896
696	0.3916142259
697	0.3914249564
698	0.391244116
699	0.3911434752
700	0.3907651181
701	0.3905723728
702	0.3904681111
703	0.3903892126
704	0.3902445303
705	0.3901477473
706	0.3900597319
707	0.3897346795
708	0.3895654347
709	0.3894620364
710	0.3893969429
711	0.3893169418
712	0.3892132562
713	0.3891180467
714	0.3890844365
715	0.3890727667
716	0.3888319108
717	0.3885358182
718	0.3884564869
719	0.388262884
720	0.3881321227
721	0.3880284723
722	0.3878174935
723	0.387761604
724	0.3876991879
725	0.3872219347
726	0.3869808111
727	0.3869146477
728	0.3867937171
729	0.3866621893
730	0.3861929222
731	0.3859985643
732	0.3857145441
733	0.3856556411
734	0.3855238433
735	0.3854579912
736	0.3853649267
737	0.3853017996
738	0.3851080611
739	0.3849714104
740	0.3848933118
741	0.3847938361
742	0.384700466
743	0.3846540585
744	0.384548551
745	0.3844660342
746	0.3844006046
747	0.3842581724
748	0.3841297137
749	0.3840816973
750	0.3840157552
751	0.3839163949
752	0.3836200447
753	0.3835359045
754	0.3834866548
755	0.3831915654
756	0.383132845
757	0.3830551083
758	0.3830026828
759	0.3828188509
760	0.3827575003
761	0.3826458274
762	0.3824885153
763	0.3820546214
764	0.3820036258
765	0.3819392912
766	0.3818917226
767	0.3817196225
768	0.3816608073
769	0.3815368356
770	0.3814896634
771	0.3813110243
772	0.3812267253
773	0.3811473401
774	0.3810717689
775	0.3810091774
776	0.3807891624
777	0.3806385292
778	0.380371996
779	0.3802921158
780	0.3800470392
781	0.3799783996
782	0.379772584
783	0.3795858402
784	0.3794915362
785	0.3793896026
786	0.3793314677
787	0.379230983
788	0.3789018787
789	0.3788352483
790	0.3788095162
791	0.3786513613
792	0.3783709825
793	0.3782168162
794	0.3781692357
795	0.3781161597
796	0.3780628476
797	0.3778919665
798	0.377780716
799	0.3777257335
800	0.3776372657
801	0.3775707405
802	0.377326398
803	0.3772669226
804	0.3772011099
805	0.3770882525
806	0.377016213
807	0.3768689086
808	0.3766043942
809	0.3764858538
810	0.3764234636
811	0.3760219219
812	0.3759537601
813	0.3758897429
814	0.3758055794
815	0.3757444206
816	0.3757018599
817	0.3756123689
818	0.3755110034
819	0.3754514429
820	0.3750872903
821	0.375036091
822	0.3749542258
823	0.3746787842
824	0.3746035622
825	0.374540798
826	0.3744156321
827	0.3743636289
828	0.3743152815
829	0.3742429579
830	0.3741125481
831	0.3738348469
832	0.3736197679
833	0.3735620013
834	0.3733908305
835	0.3733166607
836	0.3732676803
837	0.3732264739
838	0.3730757934
839	0.3730308539
840	0.3728401728
841	0.3725541686
842	0.3724094186
843	0.372353258
844	0.3719936659
845	0.3717561113
846	0.3715833901
847	0.3715240202
848	0.3714838959
849	0.3712559827
850	0.370926938
851	0.3705443414
852	0.3704102903
853	0.3703407476
854	0.3702978882
855	0.3702468953
856	0.3701696658
857	0.3701060185
858	0.3700382642
859	0.3698813769
860	0.3698496771
861	0.3697969161
862	0.3697298602
863	0.3696945142
864	0.3694734538
865	0.3693754027
866	0.3692349712
867	0.3691826922
868	0.3691524768
869	0.3691245112
870	0.3690889027
871	0.368936549
872	0.36886914
873	0.3688082611
874	0.3687660788
875	0.3686835292
876	0.3685342892
877	0.3683913647
878	0.3681074269
879	0.3680415395
880	0.367988992
881	0.3679469243
882	0.3679314987
883	0.3678148003
884	0.3676225941
885	0.367490185
886	0.3673142535
887	0.3672686175
888	0.3672603456
889	0.3670486146
890	0.3669673474
891	0.3669262182
892	0.3668887173
893	0.3668059886
894	0.3666837618
895	0.3666453658
896	0.3665796526
897	0.3662839358
898	0.3659797611
899	0.3658645604
